order_id,payment_sequential,payment_type,payment_installments,payment_value
6ad57aecbae806a7e9cc2cdb6b380711,1,credit_card,2,161.47
98fe01bc254b759c1f2c11d77c2891d5,1,voucher,1,150.0
ee0db22a8e742b752914016708470ec8,1,credit_card,4,167.82
c272bcd21c287498b4883c7512019702,1,credit_card,1,97.68
b68d69564a79dea4776afa33d1d2fcab,1,credit_card,9,262.37
6147a4d49752afd35a119d794e481588,1,credit_card,3,47.68
76c6e866289321a7c93b82b54852dc33,1,boleto,1,35.95
6abaad69b8b349c3a529b4b91ce18e46,1,credit_card,4,57.0
d3c8851a6651eeff2f73b0e011ac45d0,1,credit_card,1,299.84
53cdb2fc8bc7dce0b6741e2150273451,1,boleto,1,141.46
f271576bed568e896f99eb710cd3a6f8,1,credit_card,4,824.76
2f634e2cebf8c0283e7ef0989f77d217,1,credit_card,12,615.53
2f30c0b1905c65a8ff6c6358bc909625,1,credit_card,2,217.93
e481f51cbdc54678b7cc49136f2d6af7,1,credit_card,1,18.12
6942b8da583c2f9957e990d028607019,1,boleto,1,69.12
47770eb9100c2d0c44946d9cf07ec65d,1,credit_card,3,179.12
68e48e68da1f50f7c5838ea75e3a20dd,1,credit_card,3,392.6
688052146432ef8253587b930b01a06d,1,credit_card,3,346.09
ed3efbd3a87bea76c2812c66a0b32219,1,voucher,1,191.46
d3d6788577c9592da441752e8a1dd5e3,1,credit_card,7,76.65
5869074071e0f56e9085dc3742c97b2a,1,boleto,1,320.18
6514b8ad8028c9f2cc2374ded245783f,1,credit_card,3,75.16
ecab90c9933c58908d3d6add7c6f5ae3,1,credit_card,3,63.34
fa516182d28f96f5f5c651026b0749ee,1,credit_card,1,209.41
9faeb9b2746b9d7526aef5acb08e2aa0,1,credit_card,2,151.04
948097deef559c742e7ce321e5e58919,1,credit_card,9,95.67
f70a0aff17df5a6cdd9a7196128bd354,1,boleto,1,313.19
6a6c7d523fd59eb5bbefc007331af717,1,credit_card,1,40.48
68873cf91053cd11e6b49a766db5af1a,1,boleto,1,91.66
e69bfb5eb88e0ed6a785585b27e16dbf,2,voucher,1,161.42
b8801cccd8068de30112e4f49903d74a,1,credit_card,2,27.77
9021cf1919f615a121410790dcce848f,1,boleto,1,233.87
dcb36b511fcac050b97cd5c05de84dc3,1,credit_card,10,146.45
1b9ecfe83cdc259250e1a8aca174f0ad,1,boleto,1,33.34
1e7aff52cdbb2451ace09d0f848c3699,1,credit_card,4,154.19
9f3458f0433d4cfa472f4682654b8d49,1,credit_card,4,78.18
cadbb3657dac2dbbd5b84b12e7b78aad,1,boleto,1,409.79
662823ed689412b9a2e5085620e06070,1,credit_card,1,62.83
3a129877493c8189c59c60eb71d97c29,1,credit_card,1,14.12
d22e9fa5731b9e30e8b27afcdc2f8563,1,debit_card,1,121.62
2eb5ba20812f78127f6243fa27fb40e5,1,boleto,1,252.61
2edfd6d1f0b4cd0db4bf37b1b224d855,1,boleto,1,141.15
6bfa92d3952f762df12752e4937cd63e,1,credit_card,1,120.31
2711a938db643b3f0b62ee2c8a2784aa,1,boleto,1,59.1
3a129877493c8189c59c60eb71d97c29,2,voucher,1,36.88
86f0bcd9b426a2c1022ae317c7f27be6,1,credit_card,5,177.59
403b97836b0c04a622354cf531062e5f,1,credit_card,10,1376.45
e6ce16cb79ec1d90b1da9085a6118aeb,1,credit_card,1,259.06
3bc77ce8be27211bac313c2daa402d1a,1,credit_card,1,66.98
10c320f977c6a18f91b2d14be13128c6,1,credit_card,3,132.26
686541986ecfb7d9296eb67719973bf0,1,credit_card,1,39.99
f633c884a99eb63866600655356d973e,1,credit_card,7,619.9
d57e15fb07fd180f06ab3926b39edcd2,1,boleto,1,134.38
714fb133a6730ab81fa1d3c1b2007291,1,credit_card,4,96.01
949d5b44dbf5de918fe9c16f97b45f8a,1,credit_card,1,72.2
83018ec114eee8641c97e08f7b4e926f,2,voucher,1,62.15
fdf128b3630c21adc9ca4fb8a51b68ec,1,debit_card,1,46.2
5acce57f8d9dfd55fa48e212a641a69d,1,boleto,1,43.0
a4591c265e18cb1dcee52889e2d8acc3,1,credit_card,6,175.26
8e24261a7e58791d10cb1bf9da94df5c,1,credit_card,5,84.0
989225ba6d0ebd5873335f7e01de2ae7,1,credit_card,1,63.1
95266dbfb7e20354baba07964dac78d5,1,credit_card,3,187.57
641fb0752bf5b5940c376b3a8bb9dc52,1,credit_card,10,386.33
6a6c7d523fd59eb5bbefc007331af717,2,voucher,1,136.13
83018ec114eee8641c97e08f7b4e926f,3,voucher,1,24.86
f3e7c359154d965827355f39d6b1fdac,1,boleto,1,104.11
7206b86ea789983f7a273ea7fa0bc2a8,1,credit_card,4,49.69
37553832a3a89c9b2db59701c357ca67,1,boleto,1,132.46
84b8ba39037606b7b30a39d02e9e4154,1,credit_card,1,414.97
b276e4f8c0fb86bd82fce576f21713e0,1,credit_card,2,188.41
e481f51cbdc54678b7cc49136f2d6af7,3,voucher,1,2.0
fbf9ac61453ac646ce8ad9783d7d0af6,1,boleto,1,125.43
634e8f4c0f6744a626f77f39770ac6aa,2,voucher,1,227.2
2807d0e504d6d4894d41672727bc139f,1,credit_card,1,17.28
f56dc9034c3962e36d49fb73baa12800,1,credit_card,4,205.81
434d158e96bdd6972ad6e6d73ddcfd22,1,boleto,1,508.17
734e7d1bbaeb2ff82521ca0fe6fb6f79,1,credit_card,1,43.46
0130f0f71fb0e831d18e6a3b33a3a50c,1,boleto,1,52.77
138849fd84dff2fb4ca70a0a34c4aa1c,1,boleto,1,52.84
e425680f760cbc130be3e53a9773c584,1,credit_card,1,50.25
ee64d42b8cf066f35eac1cf57de1aa85,1,boleto,1,22.36
a6aeb116d2cb5013eb8a94585b71ffef,1,credit_card,1,59.34
8563039e855156e48fccee4d611a3196,1,credit_card,4,106.95
38b7efdf33dd5561f4f5d4f6e07b0414,1,credit_card,1,44.09
e69bfb5eb88e0ed6a785585b27e16dbf,1,credit_card,1,8.34
3b4ad687e7e5190db827e1ae5a8989dd,1,credit_card,10,865.01
95e42e6aaf6264cd3e77c06b32dc3003,1,credit_card,8,92.85
ccbabeb0b02433bd0fcbac46e70339f2,1,boleto,1,43.0
f7959f8385f34c4f645327465a1c9fc4,2,voucher,1,22.03
f7959f8385f34c4f645327465a1c9fc4,1,credit_card,1,6.83
